dataset,id1,id2,isInStrictBlockingDecay,isInStrictBlockingNoDecay,isInValueSetBlocking,isInSequenceBlocking,isInExactMatchBlocking,isSemanticRoleMatch,compatibilityPercentageDecay,compatibilityPercentageNoDecay,exactSequenceMatchPercentage,hasTransitionOverlapNoDecay,hasTransitionOverlapDecay,hasValueSetOverlap,isInSVABlockingNoDecay,isInSVABlockingDecay,VACount,DVACount,isInTSMBlockingNoWildcard,isInTSMBlockingWithWildcard,strictlyCompatiblePercentage
education,infobox book||896334||87422378-0||country,infobox scientist||5441003||208395647-0||residence,true,false,true,false,false,false,1.0,0.9798850574712644,0.8708751793400287,true,true,true,true,true,607,2,false,false,0.9454022988505747
education,infobox school||29602095||396848946-0||country,infobox school||986754||214786159-0||country,false,false,true,true,false,false,0.867816091954023,0.867816091954023,0.6829268292682927,true,true,true,true,true,476,2,true,true,0.867816091954023
education,infobox book||156208||60659752-0||media_type,infobox book||3608533||52256286-0||media_type,false,false,false,false,false,false,0.9942528735632183,0.7945402298850575,0.7847919655667145,true,true,true,true,true,547,2,false,false,0.7844827586206896
education,infobox school||27211251||359950481-0||conference,infobox school||40880567||583346210-0||conference,false,false,true,true,false,false,0.9770114942528736,0.9770114942528736,0.7101865136298422,true,true,true,true,true,495,2,true,true,0.9770114942528736
education,infobox secondary school||2677660||45350759-0||country,infobox_university||8454667||98829988-0||country,false,false,true,true,false,false,0.8649425287356322,0.8649425287356322,0.806312769010043,true,true,true,true,true,562,2,true,true,0.8649425287356322
education,infobox school||5986501||172925329-0||conference,infobox secondary school||5510631||95568490-0||conference,true,false,true,true,false,false,1.0,0.992816091954023,0.7560975609756098,true,true,true,true,true,527,2,true,true,0.992816091954023
education,infobox book||210455||91093287-0||country,infobox university||19817390||49142495-0||country,true,false,true,true,false,false,1.0,0.9942528735632183,0.9440459110473458,true,true,true,true,true,658,2,true,false,0.9942528735632183
education,infobox school||11161408||283815114-0||accreditation,infobox secondary school||5824216||72974352-0||accreditation,false,false,false,false,false,false,0.9640804597701149,0.9410919540229885,0.7431850789096126,true,true,true,true,true,518,2,false,false,0.9410919540229885
education,infobox book||2682322||84029760-0||country,infobox book||4209814||119447046-0||country,false,false,false,false,false,false,0.7543103448275862,0.49712643678160917,0.4648493543758967,true,true,true,true,true,324,2,false,false,0.47844827586206895
education,infobox book||18692300||229437786-0||language,infobox book||386381||83124707-0||language,false,false,true,false,false,false,0.9410919540229885,0.8362068965517241,0.703012912482066,true,true,true,true,true,490,2,false,false,0.8362068965517241
education,infobox secondary school||5482619||109842138-0||country,infobox university||561610||97373385-0||country,false,false,true,false,false,false,0.7758620689655172,0.7758620689655172,0.6800573888091822,true,true,true,true,true,474,2,true,false,0.7758620689655172
education,infobox university||25417||54764574-0||country,infobox_university||1941251||40165288-0||country,false,false,false,false,false,false,0.735632183908046,0.6997126436781609,0.5624103299856528,false,false,true,true,true,392,2,false,false,0.6997126436781609
education,infobox school||11640525||159757000-0||country,infobox school||11648757||189522920-0||country,false,false,false,false,false,false,0.6522988505747126,0.6522988505747126,0.5365853658536586,false,false,true,true,true,374,2,false,false,0.617816091954023
education,infobox book||1325558||93391442-0||media_type,infobox book||613307||70976400-0||media_type,false,false,false,false,false,false,0.5287356321839081,0.4540229885057471,0.430416068866571,true,true,true,true,true,300,2,false,false,0.4540229885057471
education,infobox university||3632802||34063724-0||country,infobox_university||1170596||288997339-0||country,false,false,true,false,false,false,0.8764367816091954,0.8764367816091954,0.6255380200860832,true,true,true,true,true,436,2,true,false,0.8764367816091954
education,infobox book||14440432||173997270-0||caption,infobox book||1915368||386362969-0||caption,false,false,true,true,false,false,0.9813218390804598,0.9813218390804598,0.7704447632711621,true,true,true,true,true,537,2,true,true,0.9813218390804598
education,infobox secondary school||4493716||62475616-0||type,infobox secondary school||516472||77282661-0||type,true,true,false,false,false,false,1.0,1.0,0.45480631276901007,true,true,true,true,true,317,2,false,false,0.8836206896551724
education,infobox secondary school||4374588||68383013-0||country,infobox_university||456406||54451554-0||country,false,false,true,false,false,false,0.9885057471264368,0.9885057471264368,0.8292682926829268,true,true,true,true,true,578,2,true,false,0.9885057471264368
education,infobox book||5454113||63903776-0||country,infobox_university||3623995||54957967-0||country,false,false,false,false,false,false,0.8089080459770115,0.6882183908045977,0.6685796269727403,true,true,true,true,true,466,2,false,false,0.6810344827586207
education,infobox school||11059425||281075478-0||accreditation,infobox school||11290009||285706676-0||accreditation,true,true,true,true,false,false,1.0,1.0,0.9956958393113343,true,true,true,true,true,694,2,true,true,1.0
education,infobox school||23046250||293748917-0||country,infobox school||25228047||362077988-0||country,true,true,true,false,false,false,1.0,1.0,0.7804878048780488,true,true,true,true,true,544,2,true,false,1.0
education,infobox school||11416399||201470369-0||country,infobox school||8963877||143581969-0||country,false,false,false,false,false,false,0.7844827586206896,0.6939655172413793,0.5954088952654233,false,false,true,true,true,415,2,false,false,0.6939655172413793
education,infobox book||19772135||245189405-0||pub_date,infobox university||24013114||308438959-0||established,true,true,true,true,false,false,1.0,1.0,0.9368723098995696,true,true,true,true,true,653,2,true,true,1.0
education,infobox book||2613883||63902304-0||language,infobox book||48573||40797684-0||language,false,false,true,false,false,false,0.7959770114942529,0.7959770114942529,0.7517934002869441,true,true,true,true,true,524,2,false,false,0.7959770114942529
education,infobox book||9590436||109278603-0||country,infobox book||9633523||109898439-0||country,false,false,false,false,false,false,0.9971264367816092,0.7830459770114943,0.6111908177905309,true,true,true,true,true,426,2,false,false,0.6149425287356322
education,infobox school||10411399||280853217-0||accreditation,infobox secondary school||5232745||75439971-0||accreditation,false,false,false,false,false,false,0.9554597701149425,0.6293103448275862,0.42037302725968434,true,true,true,true,true,293,2,false,false,0.6120689655172413
education,infobox school||3655330||283776847-0||accreditation,infobox school||3763008||283781097-0||accreditation,true,false,false,false,false,false,1.0,0.7140804597701149,0.7130559540889526,true,true,true,true,true,497,2,false,false,0.7140804597701149
education,infobox scientist||18412322||225280712-0||image,infobox scientist||2512293||219090401-0||image,false,false,true,false,false,false,0.9956896551724138,0.9956896551724138,0.9167862266857962,false,false,true,true,true,639,2,false,false,0.9238505747126436
education,infobox secondary school||5482619||109842138-0||country,infobox secondary school||7419723||81144023-0||country,false,false,false,false,false,false,0.7629310344827587,0.6954022988505747,0.5451936872309899,true,true,true,true,true,380,2,false,false,0.6954022988505747
education,infobox secondary school||8518005||179653000-0||type,infobox secondary school||8705946||104702355-0||type,true,true,true,false,false,false,1.0,1.0,0.8823529411764706,true,true,true,true,true,615,2,true,false,1.0
education,infobox university||1266023||13419091-0||country,infobox_university||3271378||65588665-0||country,false,false,false,false,false,false,0.7945402298850575,0.7945402298850575,0.7044476327116213,false,false,true,true,true,491,2,false,false,0.7945402298850575
education,infobox school||2925430||36193021-0||country,infobox school||6111133||276747894-0||country,false,false,false,false,false,false,0.9310344827586207,0.8175287356321839,0.5753228120516499,true,true,true,true,true,401,2,false,false,0.5747126436781609
education,infobox school||13077805||405308806-0||country,infobox school||25276997||363359835-0||country,false,false,false,false,false,false,0.9324712643678161,0.9324712643678161,0.7847919655667145,true,true,true,true,true,547,2,false,false,0.8318965517241379
education,infobox school||5227087||344683181-0||country,infobox secondary school||9405002||233727166-0||country,false,false,false,false,false,false,0.9022988505747126,0.9022988505747126,0.6513629842180775,true,true,true,true,true,454,2,false,false,0.8908045977011494
education,infobox book||13826265||167332252-0||language,infobox book||8902096||90640438-0||language,false,false,false,false,false,false,0.7844827586206896,0.7270114942528736,0.6585365853658537,false,false,true,true,true,459,2,false,false,0.7270114942528736
education,infobox uk school||1996874||191057908-0||country,infobox uk school||9609299||234154678-0||country,false,false,true,false,false,false,0.7816091954022989,0.6508620689655172,0.6097560975609756,true,true,true,true,true,425,2,false,false,0.6508620689655172
education,infobox book||5780650||61483229-0||country,infobox secondary school||7863688||238936710-0||country,false,false,false,false,false,false,0.9295977011494253,0.9295977011494253,0.7474892395982783,false,false,true,true,true,521,2,false,false,0.9295977011494253
education,infobox scientist||1297458||157672598-0||image,infobox scientist||736057||252837244-0||image,false,false,false,false,false,false,0.978448275862069,0.8879310344827587,0.7532281205164992,false,false,true,true,false,525,2,false,false,0.8635057471264368
education,infobox secondary school||3371092||36320014-0||accreditation,infobox secondary school||5824216||72974352-0||accreditation,false,false,false,false,false,false,0.9396551724137931,0.9382183908045977,0.8923959827833573,true,true,true,true,true,622,2,false,false,0.9382183908045977
education,infobox school||11346147||283845627-0||accreditation,infobox school||11346354||283860160-0||accreditation,true,true,true,true,true,false,1.0,1.0,1.0,true,true,true,true,true,697,2,true,true,1.0
