dataset,id1,id2,isInStrictBlockingDecay,isInStrictBlockingNoDecay,isInValueSetBlocking,isInSequenceBlocking,isInExactMatchBlocking,isSemanticRoleMatch,compatibilityPercentageDecay,compatibilityPercentageNoDecay,exactSequenceMatchPercentage,hasTransitionOverlapNoDecay,hasTransitionOverlapDecay,hasValueSetOverlap,isInSVABlockingNoDecay,isInSVABlockingDecay,VACount,DVACount,isInTSMBlockingNoWildcard,isInTSMBlockingWithWildcard,strictlyCompatiblePercentage
football,football player infobox||4306652||53191048-0||position,football player infobox||6166820||66483312-0||position,false,false,false,false,false,false,0.7557471264367817,0.5761494252873564,0.5595408895265424,false,false,true,true,true,390,2,false,false,0.5761494252873564
football,infobox football biography 2||24722859||320369020-0||caps8,infobox football biography||14839138||179613217-0||totalgoals,false,false,true,false,false,false,0.9224137931034483,0.9224137931034483,0.7647058823529411,false,false,true,true,true,533,2,true,false,0.9224137931034483
football,football player infobox||22671428||287746763-0||nationalcaps1,infobox football biography||37838725||526488535-0||caps1,false,false,false,false,false,false,0.9454022988505747,0.9454022988505747,0.6327116212338594,true,true,true,true,true,441,2,false,false,0.8908045977011494
football,infobox football biography 2||30516148||408525713-0||nationalcaps1,infobox football biography||33713255||460160690-0||goals2,false,false,true,true,false,false,0.9899425287356322,0.9899425287356322,0.9225251076040172,true,true,true,true,true,643,2,true,true,0.9899425287356322
football,football player infobox||12527045||176987030-0||goals4,football player infobox||1405722||57101615-0||nationalgoals1,true,false,true,true,false,false,1.0,0.9698275862068966,0.6312769010043041,false,false,true,true,true,440,2,true,false,0.9698275862068966
football,football player infobox||18744478||230220007-0||height,infobox football biography||15923002||193621101-0||height,true,true,true,false,false,false,1.0,1.0,0.9655667144906743,true,true,true,true,true,673,2,true,false,1.0
football,infobox football biography||33220814||452578386-0||years1,infobox football biography||33942671||463811346-0||years4,false,false,true,true,false,false,0.9583333333333334,0.9583333333333334,0.9440459110473458,true,true,true,true,true,658,2,true,true,0.9583333333333334
football,infobox football biography||26120503||342714400-0||caps4,infobox football biography||33716889||460213934-0||clubnumber,false,false,false,false,false,false,0.9396551724137931,0.9152298850574713,0.7489239598278336,false,false,true,true,true,522,2,false,false,0.8807471264367817
football,football club infobox||3718575||193479129-0||season,football club infobox||3793950||196566846-0||season,false,false,false,false,false,false,0.7945402298850575,0.7083333333333334,0.6829268292682927,true,true,true,true,true,476,3,false,false,0.7083333333333334
football,football player infobox||4252764||63070522-0||position_🔗_extractedLink0,infobox football biography||14759530||178673258-0||position_🔗_extractedLink0,true,true,true,true,false,false,1.0,1.0,0.8923959827833573,true,true,true,true,true,622,2,true,true,1.0
football,football club infobox||3783776||193480551-0||season,infobox football club||3895401||334312578-0||season,false,false,false,false,false,false,0.7945402298850575,0.742816091954023,0.6040172166427547,true,true,true,true,true,421,2,false,false,0.6048850574712644
football,football player infobox||12105510||155616169-0||goals3,football player infobox||21427292||269003357-0||clubnumber,false,false,false,false,false,false,0.8692528735632183,0.7787356321839081,0.667144906743185,false,false,true,true,true,465,2,false,false,0.7729885057471264
football,football player infobox||5901324||62987686-0||nationalgoals2,infobox football biography 2||10038706||330497254-0||caps2,false,false,false,false,false,false,0.8376436781609196,0.8146551724137931,0.48493543758967,false,false,true,true,true,338,2,false,false,0.7772988505747126
football,football player infobox||28677425||382519492-0||goals2,infobox football biography||22172919||280189607-0||goals4,false,false,false,false,false,false,0.9683908045977011,0.9123563218390804,0.6915351506456241,true,true,true,true,true,482,2,false,false,0.9123563218390804
football,infobox football biography||33272120||453415617-0||caps3,infobox football biography||35522991||487745139-0||clubnumber,false,false,false,false,false,false,0.9669540229885057,0.8577586206896551,0.8163558106169297,false,false,true,true,true,569,2,false,false,0.8175287356321839
football,football player infobox||26653612||351338324-0||position,football player infobox||26901797||355096699-0||position,true,true,true,true,false,false,1.0,1.0,0.9956958393113343,true,true,true,true,true,694,2,true,true,1.0
football,football player infobox||23433187||299340014-0||years6,football player infobox||8930330||153102838-0||years6,false,false,false,false,false,false,0.992816091954023,0.992816091954023,0.7919655667144907,false,false,true,true,true,552,2,false,false,0.992816091954023
football,football club infobox||16591716||201068911-0||leftarm2,football club infobox||4353185||63810663-0||leftarm2,false,false,false,false,false,false,0.9281609195402298,0.6652298850574713,0.5179340028694405,true,true,true,true,true,361,2,false,false,0.6408045977011494
