dataset,id1,id2,isInStrictBlockingDecay,isInStrictBlockingNoDecay,isInValueSetBlocking,isInSequenceBlocking,isInExactMatchBlocking,isSemanticRoleMatch,compatibilityPercentageDecay,compatibilityPercentageNoDecay,exactSequenceMatchPercentage,hasTransitionOverlapNoDecay,hasTransitionOverlapDecay,hasValueSetOverlap,isInSVABlockingNoDecay,isInSVABlockingDecay,VACount,DVACount,isInTSMBlockingNoWildcard,isInTSMBlockingWithWildcard,strictlyCompatiblePercentage
military,infobox military person||12766425||151188812-0||branch_🔗_extractedLink0,infobox military person||1441176||57955030-0||branch_🔗_extractedLink0,false,false,true,true,false,false,0.9770114942528736,0.9770114942528736,0.7474892395982783,true,true,true,true,true,521,2,true,false,0.9770114942528736
military,infobox military person||4790664||48940685-0||awards_🔗_extractedLink3,infobox military person||4872462||67176010-0||awards_🔗_extractedLink3,true,true,true,false,false,false,1.0,1.0,0.9368723098995696,true,true,true,true,true,653,2,true,false,1.0
military,infobox military person||26991110||356647208-0||branch,infobox military person||37416692||519317545-0||branch,false,false,false,false,false,false,0.985632183908046,0.985632183908046,0.7977044476327116,false,false,true,true,true,556,2,false,false,0.985632183908046
military,infobox military person||26582448||350292831-0||branch,infobox military person||29298552||392150793-0||branch,false,false,true,true,false,false,0.992816091954023,0.992816091954023,0.9483500717360115,true,true,true,true,true,661,4,true,true,0.992816091954023
military,infobox military person||26996031||356726331-0||branch,infobox military person||27005956||356874959-0||branch,false,false,false,false,false,false,0.9899425287356322,0.9899425287356322,0.9899569583931134,true,true,true,true,true,690,3,false,false,0.9899425287356322
military,infobox military person||29155997||390133279-0||branch,infobox military person||31930630||431623983-0||branch,false,false,false,false,false,false,0.9913793103448276,0.9913793103448276,0.9440459110473458,true,true,true,true,true,658,3,false,false,0.9913793103448276
military,infobox military person||28086258||374347779-0||branch,infobox military person||28195443||376154820-0||branch,false,false,false,false,false,false,0.9913793103448276,0.9913793103448276,0.7833572453371592,true,true,true,true,true,546,3,false,false,0.9913793103448276
military,infobox military person||28120812||374918084-0||branch,infobox military person||36826298||509138088-0||branch,false,false,false,false,false,false,0.9971264367816092,0.9971264367816092,0.7890961262553802,true,true,true,true,true,550,3,false,false,0.9971264367816092
military,infobox military person||28263719||377238038-0||branch,infobox military person||30996443||415744453-0||branch,false,false,true,true,false,false,0.9971264367816092,0.9971264367816092,0.9555236728837877,true,true,true,true,true,666,4,true,true,0.9971264367816092
military,infobox military person||28097078||374528895-0||branch,infobox military person||37699961||524082138-0||branch,false,false,false,false,false,false,0.9942528735632183,0.9885057471264368,0.8134863701578192,true,true,true,true,true,567,3,false,false,0.9885057471264368
military,infobox military person||36922445||510847155-0||branch,infobox military person||37416872||519321290-0||branch,false,false,true,false,false,false,0.9942528735632183,0.9942528735632183,0.945480631276901,true,true,true,true,true,659,4,true,false,0.9942528735632183
military,infobox military person||2698016||344223368-0||branch,infobox military person||27026824||357111679-0||branch,false,false,false,false,false,false,0.9080459770114943,0.9080459770114943,0.8938307030129125,true,true,true,true,true,623,3,false,false,0.9080459770114943
military,infobox military person||17192673||209195154-0||branch,infobox military person||4852869||278324200-0||branch,false,false,false,false,false,false,0.9913793103448276,0.9913793103448276,0.9253945480631277,false,false,true,true,true,645,2,false,false,0.9913793103448276
military,infobox military person||27884917||370731690-0||branch,infobox military person||28217824||376516758-0||branch,false,false,false,false,false,false,0.8979885057471264,0.8979885057471264,0.8895265423242468,false,false,true,true,true,620,2,false,false,0.8979885057471264
military,infobox military person||26846290||354244665-0||image,infobox military person||27700866||367810138-0||image,true,true,true,true,false,false,1.0,1.0,0.9856527977044476,false,false,true,true,true,687,2,true,true,1.0
military,infobox military person||26598209||350530439-0||image,infobox military person||26943489||355805199-0||image,true,true,true,true,false,false,1.0,1.0,0.994261119081779,false,false,true,true,true,693,2,true,true,1.0
military,infobox military person||2171672||161615945-0||branch,infobox military person||22195312||280486443-0||branch,false,false,false,false,false,false,0.8994252873563219,0.8979885057471264,0.7847919655667145,false,false,true,true,true,547,2,false,false,0.8979885057471264
military,infobox military person||28192623||376102043-0||branch,infobox military person||31905275||431208022-0||branch,false,false,true,true,false,false,0.9971264367816092,0.9971264367816092,0.9354375896700143,true,true,true,true,true,652,4,true,true,0.9971264367816092
military,infobox military person||27296375||361153914-0||branch,infobox military person||29327162||392513591-0||branch,false,false,false,false,false,false,0.9971264367816092,0.9971264367816092,0.9626972740315638,true,true,true,true,true,671,3,false,false,0.9971264367816092
military,infobox military person||36855665||509670915-0||branch,infobox military person||36951336||511319864-0||branch,true,true,true,false,false,false,1.0,1.0,0.9497847919655668,true,true,true,true,true,662,4,true,false,1.0
military,infobox military person||1249680||83135690-0||rank,infobox military person||8788341||98892343-0||rank,false,false,false,false,false,false,0.4410919540229885,0.4410919540229885,0.4246771879483501,true,true,true,true,true,296,3,false,false,0.4410919540229885
military,infobox military person||26569762||350105463-0||image,infobox military person||32035272||433470848-0||image,true,true,true,false,false,false,1.0,1.0,0.9067431850789096,false,false,true,true,true,632,2,true,false,1.0
military,infobox military person||18981190||233708640-0||branch,infobox military person||30703811||411212162-0||branch,false,false,false,false,false,false,0.9885057471264368,0.9885057471264368,0.806312769010043,true,true,true,true,true,562,3,false,false,0.9885057471264368
military,infobox military person||28149155||375391223-0||branch,infobox military person||33873487||462592556-0||branch,false,false,false,false,false,false,0.9870689655172413,0.9870689655172413,0.8866571018651362,true,true,true,true,true,618,3,false,false,0.9870689655172413
military,infobox military person||25055813||325418647-0||branch,infobox military person||28130206||375060620-0||branch,false,false,false,false,false,false,0.9971264367816092,0.9971264367816092,0.945480631276901,true,true,true,true,true,659,3,false,false,0.9971264367816092
military,infobox military person||16196871||197034394-0||allegiance,infobox military person||5782640||90124046-0||allegiance,false,false,false,false,false,false,0.8721264367816092,0.8304597701149425,0.733142037302726,true,true,true,true,true,511,2,false,false,0.7514367816091954
military,infobox military person||17948967||219435416-0||image,infobox military person||28026746||373316574-0||image,false,false,true,false,false,false,0.9540229885057471,0.9540229885057471,0.7317073170731707,false,false,true,true,true,510,2,true,false,0.9540229885057471
military,infobox military person||26630909||351050158-0||branch,infobox military person||28334461||378403884-0||branch,false,false,true,false,false,false,0.992816091954023,0.992816091954023,0.7604017216642754,true,true,true,true,true,530,4,true,false,0.992816091954023
military,infobox military person||26794521||353479909-0||branch,infobox military person||29298552||392150793-0||branch,false,false,false,false,false,false,0.9942528735632183,0.9942528735632183,0.9526542324246772,true,true,true,true,true,664,3,false,false,0.9942528735632183
military,infobox weapon||2316134||175626674-0||origin,infobox weapon||335691||115573555-0||origin,false,false,false,false,false,false,0.9008620689655172,0.8491379310344828,0.7948350071736011,true,true,true,true,true,554,2,false,false,0.8103448275862069
military,infobox military person||29293417||392075584-0||branch,infobox military person||32340290||438321955-0||branch,false,false,true,true,false,false,0.9971264367816092,0.9971264367816092,0.9440459110473458,true,true,true,true,true,658,4,true,true,0.9971264367816092
military,infobox military person||12198889||110610197-0||branch,infobox military person||376503||150671670-0||branch,false,false,false,false,false,false,0.9971264367816092,0.5531609195402298,0.5179340028694405,true,true,true,true,true,361,2,false,false,0.5459770114942529
military,infobox military conflict||11174310||175555584-0||commander1,infobox military conflict||886493||35765866-0||casualties2,false,false,false,false,false,false,0.9008620689655172,0.7255747126436781,0.5839311334289814,false,false,true,true,true,407,2,false,false,0.6451149425287356
military,infobox military person||4414801||93474423-0||rank,infobox military person||7328806||79955408-0||rank,false,false,false,false,false,false,0.9166666666666666,0.6163793103448276,0.6025824964131994,true,true,true,true,true,420,3,false,false,0.6163793103448276
military,infobox military person||37396632||518941270-0||branch,infobox military unit||10402437||119457481-0||branch,false,false,false,false,false,false,0.992816091954023,0.992816091954023,0.5767575322812052,false,false,true,true,true,402,2,false,false,0.992816091954023
military,infobox military person||26479947||348683106-0||branch,infobox military person||26845332||354233164-0||branch,true,true,true,true,false,false,1.0,1.0,0.994261119081779,true,true,true,true,true,693,4,true,true,1.0
military,infobox military unit||2346525||205727471-0||branch,infobox military unit||3523876||205728638-0||branch,false,false,false,false,false,false,0.9037356321839081,0.7126436781609196,0.7116212338593975,true,true,true,true,true,496,2,false,false,0.7126436781609196
military,infobox military person||28045758||373639687-0||branch,infobox military person||31835819||430071686-0||branch,false,false,false,false,false,false,0.9899425287356322,0.9899425287356322,0.926829268292683,true,true,true,true,true,646,3,false,false,0.9899425287356322
military,infobox military person||30856454||259644643-0||allegiance,infobox military person||494023||253526417-0||allegiance,false,false,false,false,false,false,0.9597701149425287,0.9597701149425287,0.9526542324246772,true,true,true,true,true,664,2,false,false,0.9597701149425287
military,infobox military person||27019701||357033141-0||branch,infobox military person||28272302||377384607-0||branch,false,false,true,false,false,false,0.992816091954023,0.992816091954023,0.7661406025824964,true,true,true,true,true,534,4,true,false,0.992816091954023
military,infobox military person||19915951||247334375-0||branch,infobox military person||19983706||248366612-0||branch,false,false,true,true,false,false,0.7945402298850575,0.7255747126436781,0.7001434720229556,true,true,true,true,true,488,2,true,false,0.7255747126436781
military,infobox military person||8301680||92515446-0||awards,infobox military person||8312785||92676570-0||awards,true,false,false,false,false,false,1.0,0.7212643678160919,0.7202295552367288,true,true,true,true,true,502,2,false,false,0.7212643678160919
military,infobox military person||26781623||353261599-0||branch,infobox military person||29146287||389961847-0||branch,false,false,true,false,false,false,0.9942528735632183,0.9942528735632183,0.763271162123386,true,true,true,true,true,532,4,true,false,0.9942528735632183
military,infobox military person||13969501||167827835-0||branch,infobox military person||26554021||349854703-0||branch,false,false,false,false,false,false,0.8994252873563219,0.8979885057471264,0.7187948350071736,false,false,true,true,true,501,2,false,false,0.8979885057471264
military,infobox military person||33868170||462498640-0||branch,infobox military person||37420858||519404663-0||branch,false,false,false,false,false,false,0.9913793103448276,0.9913793103448276,0.8852223816355811,false,false,true,true,true,617,2,false,false,0.9913793103448276
military,infobox military person||2109384||146715811-0||branch,infobox military person||28160376||375585525-0||branch,false,false,false,false,false,false,0.8979885057471264,0.8979885057471264,0.6714490674318508,false,false,true,true,true,468,2,false,false,0.8979885057471264
military,infobox military conflict||577469||33644956-0||combatant2_🔗_extractedLink0,infobox military conflict||584237||33644910-0||combatant2_🔗_extractedLink0,true,true,true,true,true,false,1.0,1.0,1.0,true,true,true,true,true,697,2,true,true,1.0
military,infobox military person||26854266||354361117-0||branch,infobox military person||27788215||369381859-0||branch,true,true,true,false,false,false,1.0,1.0,0.7704447632711621,true,true,true,true,true,537,4,true,false,1.0
military,infobox military person||26643084||351220152-0||branch,infobox military person||29158196||390172870-0||branch,false,false,true,true,false,false,0.992816091954023,0.992816091954023,0.9512195121951219,true,true,true,true,true,663,4,true,true,0.992816091954023
military,infobox military person||26941846||355771484-0||branch,infobox military person||28313145||378087113-0||branch,true,true,true,false,false,false,1.0,1.0,0.7718794835007173,true,true,true,true,true,538,4,true,false,1.0
military,infobox military person||6593667||253679654-0||rank_🔗_extractedLink0,infobox military person||690466||256905050-0||rank_🔗_extractedLink0,true,true,true,false,false,false,1.0,1.0,0.9928263988522238,true,true,true,true,true,692,2,true,false,1.0
military,infobox military person||24575812||317919668-0||battles,infobox military person||4594828||328461433-0||battles,false,false,true,true,false,false,0.992816091954023,0.992816091954023,0.9813486370157819,true,true,true,true,true,684,2,true,true,0.992816091954023
military,infobox military person||29292926||392069929-0||branch,infobox military person||8778828||160692771-0||branch,false,false,false,false,false,false,0.9899425287356322,0.9899425287356322,0.7604017216642754,false,false,true,true,true,530,2,false,false,0.9899425287356322
