dataset,id1,id2,isInStrictBlockingDecay,isInStrictBlockingNoDecay,isInValueSetBlocking,isInSequenceBlocking,isInExactMatchBlocking,isSemanticRoleMatch,compatibilityPercentageDecay,compatibilityPercentageNoDecay,exactSequenceMatchPercentage,hasTransitionOverlapNoDecay,hasTransitionOverlapDecay,hasValueSetOverlap,isInSVABlockingNoDecay,isInSVABlockingDecay,VACount,DVACount,isInTSMBlockingNoWildcard,isInTSMBlockingWithWildcard,strictlyCompatiblePercentage
politics,infobox election||34202233||532729433-0||image3_🔗_extractedLink0,infobox election||5978360||532749783-0||image1_🔗_extractedLink0,false,false,false,false,false,false,0.9511494252873564,0.9511494252873564,0.9512195121951219,false,false,true,true,true,663,2,false,false,0.9511494252873564
politics,infobox politician||1243260||295653996-0||image,infobox_politician||9868306||112720554-0||image,false,false,false,false,false,false,0.9482758620689655,0.8347701149425287,0.6628407460545194,false,false,true,true,true,462,2,false,false,0.7543103448275862
politics,infobox election||1039385||246471122-0||image1,infobox election||524238||246575735-0||image2,false,false,false,false,false,false,0.7686781609195402,0.7686781609195402,0.7675753228120517,true,true,true,true,true,535,2,false,false,0.7686781609195402
politics,infobox officeholder||14406262||174214184-0||image,infobox officeholder||16402806||371969331-0||image,false,false,true,false,false,false,0.9727011494252874,0.9727011494252874,0.7776183644189383,false,false,true,true,true,542,2,false,false,0.9094827586206896
politics,infobox officeholder||23580361||301689127-0||honorific-prefix,infobox officeholder||23580558||301691863-0||honorific-prefix,false,false,false,false,false,false,0.9899425287356322,0.9899425287356322,0.9899569583931134,false,false,true,true,true,690,2,false,false,0.9899425287356322
politics,infobox officeholder||6390734||167037847-0||image,infobox politician||772421||132282212-0||image,false,false,false,false,false,false,0.6537356321839081,0.6163793103448276,0.5810616929698709,false,false,true,true,true,405,2,false,false,0.5818965517241379
politics,infobox officeholder||392871||139033786-0||birth_place,infobox officeholder||392871||139033786-0||death_place,true,true,true,true,true,false,1.0,1.0,1.0,true,true,true,true,true,697,4,true,true,1.0
politics,infobox election||16223328||250804905-0||map_caption,infobox election||16948973||342546438-0||map_caption,false,false,false,false,false,false,0.9683908045977011,0.6982758620689655,0.5810616929698709,true,true,true,true,true,405,2,false,false,0.6494252873563219
politics,infobox officeholder||16735526||202905943-0||image,infobox politician||8660182||168881468-0||image,false,false,true,false,false,false,0.9683908045977011,0.9683908045977011,0.9167862266857962,false,false,true,true,true,639,2,false,false,0.9382183908045977
politics,infobox_politician||13765193||165566947-0||image,infobox_politician||8965167||101269283-0||image,false,false,true,true,false,false,0.9454022988505747,0.9310344827586207,0.8034433285509326,false,false,true,true,true,560,2,true,false,0.9310344827586207
politics,infobox election||16783608||242864151-0||map_caption,infobox election||24572279||317862064-0||map_caption,false,false,false,false,false,false,0.9971264367816092,0.9971264367816092,0.9225251076040172,true,true,true,true,true,643,2,false,false,0.9281609195402298
politics,infobox election||1450562||272652184-0||after_party,infobox election||1450562||272652184-0||before_party,true,true,true,true,true,false,1.0,1.0,1.0,true,true,true,true,true,697,2,true,true,1.0
politics,infobox politician||3193024||134893691-0||image,infobox_politician||10307242||118307199-0||image,false,false,true,true,false,false,0.9525862068965517,0.7801724137931034,0.7446197991391679,false,false,true,true,true,519,2,true,true,0.7801724137931034
politics,infobox_politician||25589386||334620008-0||term_start,infobox_politician||25680031||335867498-0||term_start,false,false,true,true,false,false,0.9942528735632183,0.9942528735632183,0.9928263988522238,true,true,true,true,true,692,2,true,true,0.9942528735632183
politics,infobox election||34348476||519877803-0||image2,infobox election||34348569||519813293-0||image2,true,true,true,true,false,false,1.0,1.0,0.9971305595408895,true,true,true,true,true,695,2,true,true,1.0
politics,infobox election||34348642||475285446-0||image1,infobox election||34459867||475284304-0||image1,false,false,false,false,false,false,0.9885057471264368,0.9885057471264368,0.9885222381635581,false,false,true,true,true,689,2,false,false,0.9885057471264368
politics,infobox officeholder||23580727||301694421-0||honorific-prefix,infobox officeholder||23580795||301695533-0||honorific-prefix,false,false,false,false,false,false,0.9942528735632183,0.7413793103448276,0.7403156384505022,false,false,true,true,true,516,2,false,false,0.7413793103448276
politics,infobox election||24572279||317862064-0||map_caption,infobox election||30527924||409387376-0||map_caption,false,false,true,true,false,false,0.9971264367816092,0.9971264367816092,0.8995695839311334,true,true,true,true,true,627,2,true,true,0.9971264367816092
politics,infobox_politician||950301||90128856-0||image,infobox_president||485400||91763069-0||image,false,false,true,false,false,false,0.9195402298850575,0.8275862068965517,0.8249641319942611,false,false,true,true,true,575,2,false,false,0.8275862068965517
