dataset,id1,id2,isInStrictBlockingDecay,isInStrictBlockingNoDecay,isInValueSetBlocking,isInSequenceBlocking,isInExactMatchBlocking,isSemanticRoleMatch,compatibilityPercentageDecay,compatibilityPercentageNoDecay,exactSequenceMatchPercentage,hasTransitionOverlapNoDecay,hasTransitionOverlapDecay,hasValueSetOverlap,isInSVABlockingNoDecay,isInSVABlockingDecay,VACount,DVACount,isInTSMBlockingNoWildcard,isInTSMBlockingWithWildcard,strictlyCompatiblePercentage,decayScore,hasNonOverlap
education,infobox_university||10819749||124697047-0||image_name,infobox_university||10910652||126149868-0||image_name,true,true,true,false,false,false,1.0,1.0,0.9842180774748924,true,true,true,true,true,686,3,true,false,1.0,1.0,true
education,infobox university||2882697||73449684-0||faculty,infobox university||498816||46771077-0||faculty,false,false,false,false,false,false,0.9267241379310345,0.5991379310344828,0.5451936872309899,false,false,true,true,true,380,1,false,false,0.5775862068965517,0.5,true
education,infobox secondary school||636687||57002162-0||country,infobox secondary school||8896783||144911892-0||country,true,true,false,false,false,false,1.0,1.0,0.6068866571018652,false,false,true,true,true,423,1,false,false,0.7011494252873564,1.0,true
education,infobox secondary school||8472292||94780385-0||colors,infobox secondary school||8518005||179653000-0||colors,true,true,false,false,false,false,1.0,1.0,0.9010043041606887,false,false,true,true,true,628,1,false,false,0.978448275862069,1.0,true
education,infobox school||14990664||181600091-0||schooltype,infobox school||16315287||203632145-0||schooltype,true,true,false,false,false,false,1.0,1.0,0.7690100430416069,false,false,true,true,true,536,1,false,false,0.8175287356321839,1.0,true
education,infobox scientist||4421469||424747332-0||workplaces,infobox scientist||6647964||350967531-0||workplaces,false,false,false,false,false,false,0.9841954022988506,0.9841954022988506,0.6456241032998565,false,false,true,true,true,450,1,false,false,0.7270114942528736,0.0,true
education,infobox scientist||28119845||518592338-0||nationality,infobox scientist||36254359||591815547-0||nationality,true,false,false,false,false,false,1.0,0.9410919540229885,0.8335724533715926,false,false,true,true,true,581,1,false,false,0.9353448275862069,0.665,true
education,infobox school||3020099||168919047-0||upper_age,infobox uk school||13437939||160356378-0||upper_age,true,true,false,false,false,false,1.0,1.0,0.8651362984218077,false,false,true,true,true,603,1,false,false,0.9152298850574713,1.0,true
education,infobox secondary school||17255071||210121104-0||enrollment,infobox_university||2710941||92810961-0||students,false,false,false,false,false,false,0.75,0.75,0.6441893830703013,false,false,true,true,true,449,1,false,false,0.7456896551724138,0.0,true
education,infobox uk school||20274436||252573335-0||enrollment,infobox uk school||2188381||154606300-0||enrollment,false,false,false,false,false,false,0.8563218390804598,0.8563218390804598,0.5667144906743186,false,false,true,true,true,395,1,false,false,0.6594827586206896,0.33,true
education,infobox_university||383452||46455200-0||faculty,infobox_university||4363181||167539410-0||students,false,false,false,false,false,false,0.728448275862069,0.40660919540229884,0.2883787661406026,false,false,true,true,true,201,1,false,false,0.33477011494252873,0.0,true
education,infobox school||16169106||300346402-0||grade7,infobox school||16169106||300346402-0||gradek,true,true,true,true,true,false,1.0,1.0,1.0,false,false,true,true,true,697,2,true,true,1.0,1.0,false
education,infobox school||11416993||285362186-0||enrollment,infobox school||14024925||218013309-0||enrollment,false,false,false,false,false,false,0.9382183908045977,0.9382183908045977,0.406025824964132,false,false,false,false,false,283,0,false,false,0.5387931034482759,0.0,true
education,infobox secondary school||2835529||55454214-0||students,infobox_university||15118522||183003124-0||enrollment,false,false,false,false,false,false,0.9181034482758621,0.882183908045977,0.5021520803443329,false,false,true,true,true,350,1,false,false,0.5014367816091954,0.0,true
education,infobox school||3780135||229065124-0||colors,infobox secondary school||3629453||119820137-0||colors,false,false,false,false,false,false,0.7327586206896551,0.7327586206896551,0.5824964131994261,false,false,true,true,true,406,1,false,false,0.7227011494252874,0.0,true
education,infobox university||5271058||54859838-0||free_label,infobox_university||10813181||234381966-0||free_label,true,true,false,false,false,false,1.0,1.0,0.25251076040172166,false,false,false,false,false,176,0,false,false,0.3563218390804598,1.0,true
education,infobox school||7753813||403168976-0||established,infobox_university||7032653||87741323-0||established,false,false,true,true,false,false,0.9525862068965517,0.9525862068965517,0.6456241032998565,true,true,true,true,true,450,2,true,true,0.9525862068965517,0.0,true
education,infobox_university||10823047||124751465-0||image_name,infobox_university||11470380||134126350-0||image_name,true,true,true,true,false,false,1.0,1.0,0.9928263988522238,true,true,true,true,true,692,3,true,true,1.0,1.0,true
education,infobox university||31740||35330792-0||postgrad,infobox_university||221659||46454877-0||students,false,false,false,false,false,false,0.5474137931034483,0.38362068965517243,0.2682926829268293,false,false,true,true,true,187,1,false,false,0.29022988505747127,0.0,true
education,infobox university||625672||54055323-0||undergrad,infobox_university||4298558||42515264-0||undergrad,false,false,false,false,false,false,0.9568965517241379,0.617816091954023,0.430416068866571,false,false,true,true,true,300,1,false,false,0.43103448275862066,0.5,true
education,infobox university||239846||54936061-0||athletics_🔗_extractedLink1,infobox_university||31924||49860567-0||athletics_🔗_extractedLink1,true,false,false,false,false,false,1.0,0.9310344827586207,0.7847919655667145,true,true,true,true,true,547,2,false,false,0.9310344827586207,0.995,true
education,infobox secondary school||3931851||43556436-0||students,infobox university||159999||9595729-0||postgrad,false,false,false,false,false,false,0.6882183908045977,0.507183908045977,0.3902439024390244,false,false,true,true,true,272,1,false,false,0.507183908045977,0.5,true
education,infobox school||2925430||36193021-0||grades,infobox secondary school||2176001||147653051-0||grades,true,true,true,true,false,false,1.0,1.0,0.8866571018651362,true,true,true,true,true,618,2,true,true,1.0,1.0,true
education,infobox school||2022918||183747463-0||enrollment_as_of,infobox secondary school||2418864||82328395-0||enrollment_as_of,false,false,false,false,false,false,0.6824712643678161,0.6681034482758621,0.3830703012912482,false,false,true,true,true,267,1,false,false,0.47701149425287354,0.5,true
education,infobox school||3050167||183949329-0||grades,infobox school||3775945||225996099-0||grades,false,false,false,false,false,false,0.9885057471264368,0.9885057471264368,0.8493543758967002,false,false,true,true,true,592,1,false,false,0.8505747126436781,0.0,true
education,infobox_university||20237||164940153-0||president,infobox_university||20237||164940153-0||vice_chancellor,true,true,true,true,true,true,1.0,1.0,1.0,true,true,true,true,true,697,2,true,true,1.0,1.0,false
education,infobox book||19433458||240357062-0||genre,infobox book||19869298||246644690-0||genre,true,true,false,false,false,true,1.0,1.0,0.9913916786226685,false,false,true,true,true,691,1,false,false,0.9985632183908046,1.0,true
education,infobox book||210471||265670077-0||pages,infobox school||2026728||48316804-0||faculty,true,true,false,false,false,false,1.0,1.0,0.25107604017216645,false,false,false,false,false,175,0,true,false,0.6063218390804598,1.0,true
education,infobox book||382176||63299854-0||release_date,infobox_university||3299717||148061794-0||established,false,false,false,false,false,false,0.6163793103448276,0.5373563218390804,0.45767575322812054,false,false,true,true,true,319,1,false,false,0.5373563218390804,0.0,true
education,infobox university||502887||49142915-0||undergrad,infobox_university||4778882||48806542-0||undergrad,false,false,false,false,false,false,0.7931034482758621,0.6120689655172413,0.3830703012912482,false,false,true,true,true,267,1,false,false,0.38936781609195403,0.165,true
education,infobox university||18808393||231213939-0||school_colours,infobox_university||5961567||90401374-0||colors,true,true,false,false,false,false,1.0,1.0,0.3629842180774749,false,false,true,true,true,253,1,false,false,0.8735632183908046,1.0,true
education,infobox_university||3767306||47194501-0||established,infobox_university||65408||55484255-0||established,true,true,false,false,false,false,1.0,1.0,0.8220946915351507,false,false,true,true,true,573,1,false,false,0.8333333333333334,1.0,true
education,infobox university||1794495||294365644-0||students,infobox university||9346433||189648342-0||postgrad,true,false,false,false,false,false,1.0,0.8448275862068966,0.6413199426111909,false,false,true,true,true,447,1,false,false,0.6767241379310345,0.665,true
education,infobox university||1723253||15349799-0||colors,infobox university||684511||21114491-0||head,true,false,false,false,false,false,1.0,0.8045977011494253,0.21233859397417504,false,false,true,true,true,148,1,false,false,0.3275862068965517,0.995,true
education,infobox school||13741332||241341334-0||students,infobox secondary school||13168405||156605280-0||established,false,false,false,false,false,false,0.5459770114942529,0.5158045977011494,0.43615494978479197,false,false,true,true,true,304,1,false,false,0.4367816091954023,0.0,true
education,infobox book||19417136||240105921-0||genre,infobox book||19433847||240361633-0||genre,true,true,true,true,true,true,1.0,1.0,1.0,true,true,true,true,true,697,2,true,true,1.0,1.0,false
education,infobox university||2313922||364090153-0||type,infobox university||2313922||364090153-1||type,true,true,false,false,false,false,1.0,1.0,0.7001434720229556,false,false,true,true,true,488,1,false,false,0.7011494252873564,1.0,true
education,infobox book||608748||42914934-0||media_type,infobox book||895506||42915384-0||media_type,true,true,true,true,true,false,1.0,1.0,1.0,false,false,true,true,true,697,1,true,true,1.0,1.0,true
education,infobox book||1544083||54518545-0||genre,infobox book||52853||89512344-0||genre,false,false,false,false,false,false,0.7341954022988506,0.7341954022988506,0.5566714490674318,false,false,true,true,true,388,1,false,false,0.5574712643678161,0.25,true
education,infobox book||16518434||200368677-0||genre,infobox book||16518528||200369509-0||genre,true,true,false,false,false,false,1.0,1.0,0.8536585365853658,false,false,true,true,true,595,1,false,false,0.8548850574712644,1.0,true
education,infobox secondary school||613449||60044948-0||established,infobox_university||2821692||86019014-0||established,false,false,false,false,false,false,0.8807471264367817,0.6580459770114943,0.28407460545193686,false,false,true,true,true,198,1,false,false,0.6408045977011494,0.0,true
education,infobox book||145627||45117661-0||country,infobox book||7049805||89051167-0||country,false,false,false,false,false,false,0.7600574712643678,0.6522988505747126,0.34433285509325684,false,false,true,true,false,240,1,false,false,0.39511494252873564,0.0,true
education,infobox secondary school||3671259||114200233-0||colors,infobox_university||3577797||35169666-0||colors,false,false,false,false,false,false,0.7844827586206896,0.7844827586206896,0.2266857962697274,false,false,false,false,false,158,0,false,false,0.22701149425287356,0.0,true
education,infobox school||1630878||88971534-0||colors_🔗_extractedLink1,infobox university||571939||97375991-0||colors_🔗_extractedLink1,false,false,false,false,false,false,0.9353448275862069,0.9353448275862069,0.4533715925394548,false,false,true,true,true,316,1,false,false,0.49137931034482757,0.33,true
education,infobox scientist||252532||304490859-0||residence_🔗_extractedLink0,infobox scientist||760374||303492681-0||nationality_🔗_extractedLink0,false,false,false,false,false,false,0.9568965517241379,0.8620689655172413,0.6800573888091822,true,true,true,true,true,474,2,false,false,0.6824712643678161,0.33,true
