dataset,id1,id2,isInStrictBlockingDecay,isInStrictBlockingNoDecay,isInValueSetBlocking,isInSequenceBlocking,isInExactMatchBlocking,isSemanticRoleMatch,compatibilityPercentageDecay,compatibilityPercentageNoDecay,exactSequenceMatchPercentage,hasTransitionOverlapNoDecay,hasTransitionOverlapDecay,hasValueSetOverlap,isInSVABlockingNoDecay,isInSVABlockingDecay,VACount,DVACount,isInTSMBlockingNoWildcard,isInTSMBlockingWithWildcard,strictlyCompatiblePercentage,decayScore,hasNonOverlap
education,infobox school||11347223||283858098-0||accreditation,infobox secondary school||11278599||193432958-0||accreditation,true,true,false,false,false,false,1.0,1.0,0.4748923959827834,false,false,true,true,true,331,1,false,false,0.4755747126436782,1.0,true
education,infobox school||24230548||328616351-0||grade2,infobox school||24230548||328616351-0||grade3,true,true,true,true,true,false,1.0,1.0,1.0,false,false,true,true,true,697,2,true,true,1.0,1.0,false
education,infobox book||1188898||68024931-0||country,infobox book||200701||43506918-0||country,false,false,true,true,false,false,0.9985632183908046,0.9985632183908046,0.9670014347202296,false,false,true,true,true,674,2,true,true,0.9985632183908046,0.0,true
education,infobox university||1240251||74991386-0||country,infobox university||637381||51659425-0||country,false,false,false,false,false,false,0.8448275862068966,0.8448275862068966,0.7202295552367288,true,true,true,true,true,502,1,false,false,0.7974137931034483,0.5,true
education,infobox_university||501079||55720926-0||chancellor_🔗_extractedLink0,infobox_university||877131||55721772-0||chancellor_🔗_extractedLink0,false,false,false,false,false,false,0.9870689655172413,0.9870689655172413,0.5279770444763271,true,true,true,true,true,368,2,false,false,0.6206896551724138,0.0,true
education,infobox book||3286247||161352489-0||country,infobox university||5123014||56348474-0||country,false,false,false,false,false,false,0.8390804597701149,0.7686781609195402,0.6312769010043041,true,true,true,true,true,440,2,false,false,0.7313218390804598,0.0,true
education,infobox school||690689||280357068-0||state_🔗_extractedLink0,infobox university||226739||122888744-0||state_🔗_extractedLink0,true,true,true,true,false,false,1.0,1.0,0.8536585365853658,true,true,true,true,true,595,2,true,false,1.0,1.0,true
education,infobox secondary school||13710731||164315488-0||country,infobox_university||327950||43684029-0||country,false,false,true,false,false,false,0.7729885057471264,0.7729885057471264,0.6542324246771879,true,true,true,true,true,456,2,true,false,0.7729885057471264,0.0,true
education,infobox book||4081||55457828-0||genre,infobox book||58665||47583831-0||genre,false,false,false,false,false,false,0.9655172413793104,0.9655172413793104,0.2697274031563845,false,false,true,true,true,188,1,false,false,0.27011494252873564,0.0,true
education,infobox book||19433458||240357062-0||genre,infobox book||19433847||240361633-0||genre,true,true,true,true,true,true,1.0,1.0,1.0,true,true,true,true,true,697,2,true,true,1.0,1.0,false
education,infobox book||11673196||136950541-0||genre_🔗_extractedLink0,infobox book||1540273||76213145-0||genre_🔗_extractedLink0,true,true,true,false,false,false,1.0,1.0,0.7718794835007173,false,false,true,true,true,538,1,false,false,0.8031609195402298,1.0,true
education,infobox book||10697284||123176981-0||genre_🔗_extractedLink0,infobox book||10697525||123179126-0||genre_🔗_extractedLink0,true,true,true,true,true,true,1.0,1.0,1.0,true,true,true,true,true,697,2,true,true,1.0,1.0,false
education,infobox book||10697578||123179668-0||country,infobox book||4472851||123180666-0||country,true,true,true,true,true,false,1.0,1.0,1.0,true,true,true,true,true,697,2,true,true,1.0,1.0,false
education,infobox secondary school||5824216||72974352-0||country,infobox secondary school||9003633||128354957-0||country,false,false,false,false,false,false,0.8477011494252874,0.8477011494252874,0.7962697274031564,false,false,true,true,true,555,2,false,false,0.8477011494252874,0.0,true
education,infobox book||210455||91093287-0||country,infobox book||3608582||55380748-0||country,false,false,false,false,false,false,0.9152298850574713,0.6479885057471264,0.5839311334289814,true,true,true,true,true,407,2,false,false,0.6422413793103449,0.0,true
education,infobox book||1188898||68024931-0||language,infobox book||664301||85043086-0||language,true,false,false,false,false,false,1.0,0.9971264367816092,0.8723098995695839,true,true,true,true,true,608,2,false,false,0.9123563218390804,0.665,true
education,infobox school||4884695||276602954-0||enrollment_as_of,infobox university||11503612||213401342-0||enrollment_as_of,false,false,true,false,false,false,0.985632183908046,0.985632183908046,0.9067431850789096,true,true,true,true,true,632,2,true,false,0.985632183908046,0.33,true
education,infobox school||11511848||286511425-0||accreditation,infobox secondary school||9797286||177652455-0||accreditation,true,true,false,false,false,false,1.0,1.0,0.460545193687231,false,false,true,true,true,321,1,false,false,0.5847701149425287,1.0,true
education,infobox_university||11470380||134126350-0||country,infobox_university||11471057||134137603-0||country,true,true,true,true,true,true,1.0,1.0,1.0,true,true,true,true,true,697,2,true,true,1.0,1.0,false
education,infobox school||6380749||68916978-0||type,infobox school||9570949||109017747-0||type,true,true,true,false,false,false,1.0,1.0,0.9426111908177905,true,true,true,true,true,657,2,true,false,1.0,1.0,true
education,infobox book||9250929||104874525-0||genre_🔗_extractedLink0,infobox book||9253272||104904139-0||genre_🔗_extractedLink0,true,true,true,true,true,true,1.0,1.0,1.0,true,true,true,true,true,697,2,true,true,1.0,1.0,false
education,infobox book||4777482||80432975-0||language,infobox book||896334||87422378-0||language,false,false,true,false,false,false,0.9813218390804598,0.9813218390804598,0.642754662840746,true,true,true,true,true,448,2,true,false,0.9813218390804598,0.0,true
education,infobox school||11259849||287110127-0||accreditation,infobox school||11260780||286833502-0||accreditation,false,false,true,true,false,false,0.8160919540229885,0.8160919540229885,0.8163558106169297,true,true,true,true,true,569,2,true,false,0.8160919540229885,0.33,false
education,infobox university||299181||56755892-0||country,infobox university||362136||44914117-0||country,false,false,true,false,false,false,0.7729885057471264,0.7313218390804598,0.5624103299856528,true,true,true,true,true,392,2,true,false,0.7313218390804598,0.0,true
education,infobox school||6255476||205750296-0||established,infobox university||1471637||52289072-0||established,false,false,false,false,false,false,0.992816091954023,0.992816091954023,0.4533715925394548,false,false,true,true,true,316,1,false,false,0.5991379310344828,0.0,true
education,infobox school||11294153||225538506-0||accreditation,infobox school||2306618||283591035-0||accreditation,false,false,false,false,false,false,0.9985632183908046,0.9985632183908046,0.921090387374462,true,true,true,true,true,642,2,false,false,0.9770114942528736,0.33,true
education,infobox university||1432699||44916740-0||country,infobox_university||1601618||130543480-0||country,false,false,false,false,false,false,0.8951149425287356,0.7183908045977011,0.43615494978479197,false,false,true,true,true,304,1,false,false,0.5229885057471264,0.4,true
education,infobox school||11160819||283818078-0||accreditation,infobox school||11290009||285706676-0||accreditation,true,true,true,true,false,false,1.0,1.0,0.9985652797704447,true,true,true,true,true,696,2,true,true,1.0,1.0,false
education,infobox book||10385587||119225945-0||language,infobox book||1149427||62880870-0||language,false,false,false,false,false,false,0.5459770114942529,0.5416666666666666,0.31563845050215206,false,false,true,true,true,220,1,false,false,0.3160919540229885,0.0,true
education,infobox book||18692300||229437786-0||language,infobox book||48573||40797684-0||language,false,false,true,false,false,false,0.8520114942528736,0.8520114942528736,0.629842180774749,true,true,true,true,true,439,2,true,false,0.8520114942528736,0.0,true
education,infobox university||1577285||72986831-0||type,infobox university||961817||71041418-0||type,false,false,true,false,false,false,0.8060344827586207,0.8060344827586207,0.6872309899569584,true,true,true,true,true,479,2,true,false,0.8060344827586207,0.0,true
education,infobox scientist||1622000||260309683-0||image,infobox scientist||3121802||207096676-0||image,true,true,true,true,false,false,1.0,1.0,0.9483500717360115,false,false,true,true,true,661,2,true,true,1.0,1.0,true
