dataset,epoch,valid_f1,test_f1,best_test_f1
education,1,0.629951690821256,0.6535362578334826,0.6535362578334826
education,2,0.6481687014428413,0.6722513089005235,0.6722513089005235
education,3,0.6690476190476191,0.6834061135371179,0.6834061135371179
military,1,0.6673122444587906,0.6699539071711867,0.6699539071711867
military,2,0.6682242990654206,0.6719096145325654,0.6719096145325654
military,3,0.6733504313359757,0.6779858123037562,0.6779858123037562
politics,1,0.6997558991049634,0.7170693686671863,0.7170693686671863
politics,2,0.7096273291925465,0.7271352985638699,0.7271352985638699
politics,3,0.7170773152081564,0.7254740313272877,0.7254740313272877
tv_and_film,1,0.7828843106180666,0.7858419243986254,0.7858419243986254
tv_and_film,2,0.7828843106180666,0.7858419243986254,0.7858419243986254
tv_and_film,3,0.7897652719055256,0.7938987009195738,0.7938987009195738
oregon,1,0.4220379146919432,0.4105213715359323,0.4105213715359323
oregon,2,0.42604651162790697,0.41695541695541694,0.41695541695541694
oregon,3,0.428521332554062,0.4178654292343387,0.4178654292343387
chicago,1,0.3366199276618937,0.34366835904766596,0.34366835904766596
chicago,2,0.34566233766233767,0.3535301403798513,0.3535301403798513
chicago,3,0.3485956924336215,0.35523780549639994,0.35523780549639994
utah,1,0.8731138545953361,0.8814840261078666,0.8814840261078666
utah,2,0.8760727772056299,0.8834019204389574,0.8834019204389574
utah,3,0.8769017980636238,0.8829823955816363,0.8829823955816363
maryland,1,0.260130798850926,0.2679754452075609,0.2679754452075609
maryland,2,0.2576152158010242,0.2653810300629224,0.2679754452075609
maryland,3,0.2576152158010242,0.2653810300629224,0.2679754452075609
austintexas,1,0.5694956949569494,0.5628425050340274,0.5628425050340274
austintexas,2,0.5752642102256498,0.5687480616148042,0.5687480616148042
austintexas,3,0.580045211672832,0.5726045607935372,0.5726045607935372
football,1,0.8551115536045617,0.8550027417338506,0.8550027417338506
football,2,0.8821475329420321,0.8817081599739792,0.8817081599739792
football,3,0.8969808645770984,0.897010623966167,0.897010623966167
