dataset,epoch,scoreType,value
education,1,dev_f1,0.6537216828478964
education,1,f1,0.6688102893890675
education,1,bestF1,0.6688102893890675
education,2,dev_f1,0.6713780918727915
education,2,f1,0.6925795053003534
education,2,bestF1,0.6925795053003534
education,3,dev_f1,0.6573426573426573
education,3,f1,0.6968641114982578
education,3,bestF1,0.6925795053003534
education,4,dev_f1,0.6975476839237057
education,4,f1,0.721407624633431
education,4,bestF1,0.721407624633431
education,5,dev_f1,0.7184466019417476
education,5,f1,0.7687074829931972
education,5,bestF1,0.7687074829931972
education,6,dev_f1,0.7468354430379747
education,6,f1,0.7656765676567656
education,6,bestF1,0.7656765676567656
education,7,dev_f1,0.7672131147540985
education,7,f1,0.7866666666666666
education,7,bestF1,0.7866666666666666
education,8,dev_f1,0.760655737704918
education,8,f1,0.8219178082191781
education,8,bestF1,0.7866666666666666
education,9,dev_f1,0.8013245033112583
education,9,f1,0.833922261484099
education,9,bestF1,0.833922261484099
education,10,dev_f1,0.7909967845659164
education,10,f1,0.8271186440677967
education,10,bestF1,0.833922261484099
education,11,dev_f1,0.8184818481848185
education,11,f1,0.8402777777777778
education,11,bestF1,0.8402777777777778
education,12,dev_f1,0.8108108108108109
education,12,f1,0.8368794326241135
education,12,bestF1,0.8402777777777778
education,13,dev_f1,0.8040540540540541
education,13,f1,0.8409893992932862
education,13,bestF1,0.8402777777777778
education,14,dev_f1,0.8126984126984127
education,14,f1,0.8338983050847458
education,14,bestF1,0.8402777777777778
education,15,dev_f1,0.8178694158075602
education,15,f1,0.8540925266903914
education,15,bestF1,0.8402777777777778
education,16,dev_f1,0.8157099697885196
education,16,f1,0.8116883116883117
education,16,bestF1,0.8402777777777778
education,17,dev_f1,0.8078175895765473
education,17,f1,0.831615120274914
education,17,bestF1,0.8402777777777778
education,18,dev_f1,0.8120805369127517
education,18,f1,0.851063829787234
education,18,bestF1,0.8402777777777778
education,19,dev_f1,0.8150684931506849
education,19,f1,0.8540925266903914
education,19,bestF1,0.8402777777777778
education,20,dev_f1,0.8150684931506849
education,20,f1,0.851063829787234
education,20,bestF1,0.8402777777777778
military,1,dev_f1,0.5615640599001663
military,1,f1,0.5482762212269555
military,1,bestF1,0.5482762212269555
military,2,dev_f1,0.6028325868538917
military,2,f1,0.5998271391529818
military,2,bestF1,0.5998271391529818
military,3,dev_f1,0.7415573541724811
military,3,f1,0.7333046100818613
military,3,bestF1,0.7333046100818613
military,4,dev_f1,0.8570989551321451
military,4,f1,0.8476280238768459
military,4,bestF1,0.8476280238768459
military,5,dev_f1,0.9341734372409219
military,5,f1,0.930517711171662
military,5,bestF1,0.930517711171662
military,6,dev_f1,0.9416498993963782
military,6,f1,0.9362728212194281
military,6,bestF1,0.9362728212194281
military,7,dev_f1,0.9400431821956485
military,7,f1,0.9414984604858021
military,7,bestF1,0.9362728212194281
military,8,dev_f1,0.9477574332269444
military,8,f1,0.9452339688041596
military,8,bestF1,0.9452339688041596
military,9,dev_f1,0.9522689075630252
military,9,f1,0.9493934142114384
military,9,bestF1,0.9493934142114384
military,10,dev_f1,0.9526034712950601
military,10,f1,0.9525115720898338
military,10,bestF1,0.9525115720898338
military,11,dev_f1,0.9612892507060973
military,11,f1,0.9593717992488905
military,11,bestF1,0.9593717992488905
military,12,dev_f1,0.9609479305740988
military,12,f1,0.959931506849315
military,12,bestF1,0.9593717992488905
military,13,dev_f1,0.963098404255319
military,13,f1,0.9598359254828235
military,13,bestF1,0.9598359254828235
military,14,dev_f1,0.9659886628876292
military,14,f1,0.9623287671232877
military,14,bestF1,0.9623287671232877
military,15,dev_f1,0.9656545545047287
military,15,f1,0.9641148325358853
military,15,bestF1,0.9623287671232877
military,16,dev_f1,0.9656084656084656
military,16,f1,0.9650349650349651
military,16,bestF1,0.9623287671232877
military,17,dev_f1,0.9674958540630183
military,17,f1,0.9641638225255973
military,17,bestF1,0.9641638225255973
military,18,dev_f1,0.967032967032967
military,18,f1,0.9638265043716784
military,18,bestF1,0.9641638225255973
military,19,dev_f1,0.9675711449371278
military,19,f1,0.9652470187393527
military,19,bestF1,0.9652470187393527
military,20,dev_f1,0.9679232804232805
military,20,f1,0.9662806539509536
military,20,bestF1,0.9662806539509536
politics,1,dev_f1,0.645655877342419
politics,1,f1,0.6747967479674797
politics,1,bestF1,0.6747967479674797
politics,2,dev_f1,0.697524219590958
politics,2,f1,0.7349753694581281
politics,2,bestF1,0.7349753694581281
politics,3,dev_f1,0.713846153846154
politics,3,f1,0.7378640776699028
politics,3,bestF1,0.7378640776699028
politics,4,dev_f1,0.7416216216216217
politics,4,f1,0.7833163784333673
politics,4,bestF1,0.7833163784333673
politics,5,dev_f1,0.7528604118993135
politics,5,f1,0.8064171122994652
politics,5,bestF1,0.8064171122994652
politics,6,dev_f1,0.7686996547756042
politics,6,f1,0.8098290598290598
politics,6,bestF1,0.8098290598290598
politics,7,dev_f1,0.7779030439684329
politics,7,f1,0.8070175438596491
politics,7,bestF1,0.8070175438596491
politics,8,dev_f1,0.7886089813800656
politics,8,f1,0.8272357723577236
politics,8,bestF1,0.8272357723577236
politics,9,dev_f1,0.7857847976307996
politics,9,f1,0.8245125348189415
politics,9,bestF1,0.8272357723577236
politics,10,dev_f1,0.8236582694414019
politics,10,f1,0.8487309644670051
politics,10,bestF1,0.8487309644670051
politics,11,dev_f1,0.8382838283828383
politics,11,f1,0.8641975308641976
politics,11,bestF1,0.8641975308641976
politics,12,dev_f1,0.8366627497062279
politics,12,f1,0.8313384113166485
politics,12,bestF1,0.8641975308641976
politics,13,dev_f1,0.8373151308304891
politics,13,f1,0.8666666666666666
politics,13,bestF1,0.8641975308641976
politics,14,dev_f1,0.8275862068965518
politics,14,f1,0.860581745235707
politics,14,bestF1,0.8641975308641976
politics,15,dev_f1,0.8382193268186753
politics,15,f1,0.8676616915422886
politics,15,bestF1,0.8641975308641976
politics,16,dev_f1,0.8405797101449275
politics,16,f1,0.86414708886619
politics,16,bestF1,0.86414708886619
politics,17,dev_f1,0.8441988950276244
politics,17,f1,0.8693877551020407
politics,17,bestF1,0.8693877551020407
politics,18,dev_f1,0.8453837597330367
politics,18,f1,0.8638689866939612
politics,18,bestF1,0.8638689866939612
politics,19,dev_f1,0.8480176211453745
politics,19,f1,0.8704453441295547
politics,19,bestF1,0.8704453441295547
politics,20,dev_f1,0.848552338530067
politics,20,f1,0.8633093525179856
politics,20,bestF1,0.8633093525179856
tv_and_film,1,dev_f1,0.917407878017789
tv_and_film,1,f1,0.9200524246395807
tv_and_film,1,bestF1,0.9200524246395807
tv_and_film,2,dev_f1,0.9218038891187422
tv_and_film,2,f1,0.9233390119250425
tv_and_film,2,bestF1,0.9233390119250425
tv_and_film,3,dev_f1,0.9222929936305733
tv_and_film,3,f1,0.9224024550635687
tv_and_film,3,bestF1,0.9224024550635687
tv_and_film,4,dev_f1,0.9232067510548524
tv_and_film,4,f1,0.9244211446046309
tv_and_film,4,bestF1,0.9244211446046309
tv_and_film,5,dev_f1,0.9226869455006337
tv_and_film,5,f1,0.9236807675534234
tv_and_film,5,bestF1,0.9244211446046309
tv_and_film,6,dev_f1,0.9243697478991596
tv_and_film,6,f1,0.9282920469361148
tv_and_film,6,bestF1,0.9282920469361148
tv_and_film,7,dev_f1,0.9186241610738255
tv_and_film,7,f1,0.9287257019438446
tv_and_film,7,bestF1,0.9282920469361148
tv_and_film,8,dev_f1,0.9316928298684768
tv_and_film,8,f1,0.9281332164767748
tv_and_film,8,bestF1,0.9281332164767748
tv_and_film,9,dev_f1,0.9304123711340206
tv_and_film,9,f1,0.9375830013280214
tv_and_film,9,bestF1,0.9281332164767748
tv_and_film,10,dev_f1,0.9305496378355348
tv_and_film,10,f1,0.9379912663755459
tv_and_film,10,bestF1,0.9281332164767748
tv_and_film,11,dev_f1,0.9367640645442651
tv_and_film,11,f1,0.9406514948683624
tv_and_film,11,bestF1,0.9406514948683624
tv_and_film,12,dev_f1,0.944563816072196
tv_and_film,12,f1,0.9469530907496712
tv_and_film,12,bestF1,0.9469530907496712
tv_and_film,13,dev_f1,0.9481798715203426
tv_and_film,13,f1,0.9480633802816901
tv_and_film,13,bestF1,0.9480633802816901
tv_and_film,14,dev_f1,0.9495906936665232
tv_and_film,14,f1,0.9515770768547311
tv_and_film,14,bestF1,0.9515770768547311
tv_and_film,15,dev_f1,0.9519725557461406
tv_and_film,15,f1,0.947136563876652
tv_and_film,15,bestF1,0.947136563876652
tv_and_film,16,dev_f1,0.9536878216123498
tv_and_film,16,f1,0.9514134275618374
tv_and_film,16,bestF1,0.9514134275618374
tv_and_film,17,dev_f1,0.9486301369863014
tv_and_film,17,f1,0.9509933774834437
tv_and_film,17,bestF1,0.9514134275618374
tv_and_film,18,dev_f1,0.9505801461108724
tv_and_film,18,f1,0.9512843224092117
tv_and_film,18,bestF1,0.9514134275618374
tv_and_film,19,dev_f1,0.9497206703910615
tv_and_film,19,f1,0.9513274336283186
tv_and_film,19,bestF1,0.9514134275618374
tv_and_film,20,dev_f1,0.9497206703910615
tv_and_film,20,f1,0.9513274336283186
tv_and_film,20,bestF1,0.9514134275618374
football,1,dev_f1,0.3750469748214957
football,1,f1,0.36972232788132364
football,1,bestF1,0.36972232788132364
football,2,dev_f1,0.5304454434000817
football,2,f1,0.5151893466500208
football,2,bestF1,0.5151893466500208
football,3,dev_f1,0.48821457599566515
football,3,f1,0.48595582219798206
football,3,bestF1,0.5151893466500208
football,4,dev_f1,0.4787784679089027
football,4,f1,0.47414019427671306
football,4,bestF1,0.5151893466500208
football,5,dev_f1,0.5051608986035215
football,5,f1,0.505521472392638
football,5,bestF1,0.5151893466500208
football,6,dev_f1,0.5075206210577389
football,6,f1,0.4959183673469388
football,6,bestF1,0.5151893466500208
football,7,dev_f1,0.01959605674440972
football,7,f1,0.01954707041500391
football,7,bestF1,0.5151893466500208
football,8,dev_f1,0.01959605674440972
football,8,f1,0.01954707041500391
football,8,bestF1,0.5151893466500208
football,9,dev_f1,0.01959605674440972
football,9,f1,0.01954707041500391
football,9,bestF1,0.5151893466500208
football,10,dev_f1,0.01959605674440972
football,10,f1,0.01954707041500391
football,10,bestF1,0.5151893466500208
football,11,dev_f1,0.5932141554177308
football,11,f1,0.5744996293550779
football,11,bestF1,0.5744996293550779
football,12,dev_f1,0.5853319429961766
football,12,f1,0.5663464959089293
football,12,bestF1,0.5744996293550779
football,13,dev_f1,0.611957796014068
football,13,f1,0.590818363273453
football,13,bestF1,0.590818363273453
football,14,dev_f1,0.602182913059842
football,14,f1,0.5787072243346008
football,14,bestF1,0.590818363273453
football,15,dev_f1,0.6018136850783182
football,15,f1,0.5739421868454126
football,15,bestF1,0.590818363273453
football,16,dev_f1,0.6186504927975739
football,16,f1,0.6006120887528691
football,16,bestF1,0.6006120887528691
football,17,dev_f1,0.6167999999999999
football,17,f1,0.5980784627702161
football,17,bestF1,0.6006120887528691
football,18,dev_f1,0.6264210113680909
football,18,f1,0.6054901960784314
football,18,bestF1,0.6054901960784314
football,19,dev_f1,0.6304098046725393
football,19,f1,0.6047765793528506
football,19,bestF1,0.6047765793528506
football,20,dev_f1,0.6316196366447623
football,20,f1,0.607350096711799
football,20,bestF1,0.607350096711799
