dataset,epoch,valid_f1,test_f1,best_test_f1
oregon,1,0.6305418719211823,0.6409048067860509,0.6409048067860509
oregon,2,0.6332278481012658,0.6418167580266249,0.6418167580266249
oregon,3,0.6388888888888888,0.6441251056635672,0.6441251056635672
oregon,4,0.6409512761020882,0.6464444126484475,0.6464444126484475
oregon,5,0.6404099560761347,0.6452076447765484,0.6464444126484475
oregon,6,0.6419463579070791,0.6455897213801067,0.6455897213801067
oregon,7,0.6410070901461438,0.6492399488563717,0.6455897213801067
oregon,8,0.640303516708011,0.6467975354635335,0.6455897213801067
oregon,9,0.6379843819065861,0.6473485946102578,0.6455897213801067
oregon,10,0.6364566583832774,0.6463484761357101,0.6455897213801067
utah,1,0.9809473405662874,0.9801429706115965,0.9801429706115965
utah,2,0.9810971579643093,0.980309237478525,0.980309237478525
utah,3,0.982135768161969,0.9821404947744411,0.9821404947744411
utah,4,0.9823584029712163,0.9816927566993897,0.9816927566993897
utah,5,0.9822328294881995,0.9818326481898951,0.9816927566993897
utah,6,0.9816404702152951,0.9815157116451018,0.9816927566993897
utah,7,0.9815059445178336,0.9813763043191125,0.9816927566993897
utah,8,0.9816404702152951,0.9815108293713682,0.9816927566993897
utah,9,0.9810420257192098,0.9808815719596389,0.9816927566993897
utah,10,0.9813713832738803,0.981899854670366,0.9816927566993897
maryland,1,0.3217640182206636,0.311939995945672,0.311939995945672
maryland,2,0.3466666666666666,0.33185869924067346,0.33185869924067346
maryland,3,0.34573554665140244,0.32794869713450764,0.33185869924067346
maryland,4,0.34919609995480083,0.33440177928959247,0.33440177928959247
maryland,5,0.3488890724374329,0.34198523924040136,0.33440177928959247
maryland,6,0.3514160913061857,0.3391150442477876,0.3391150442477876
maryland,7,0.35502183406113536,0.34092740458574466,0.34092740458574466
maryland,8,0.3572523765716038,0.3449714197435501,0.3449714197435501
maryland,9,0.3564259962973789,0.3435958160647326,0.3449714197435501
maryland,10,0.3587342345744279,0.3440778470427246,0.3440778470427246
chicago,1,0.7771815871222819,0.7811030951826855,0.7811030951826855
chicago,2,0.7818596171376482,0.7858456294568775,0.7858456294568775
chicago,3,0.7831359278059785,0.7882500348043993,0.7882500348043993
chicago,4,0.7830827238450006,0.7862544185422167,0.7882500348043993
chicago,5,0.7829732932276,0.7859740492973556,0.7882500348043993
chicago,6,0.7865294145046345,0.7904131014812771,0.7904131014812771
chicago,7,0.7858764654093878,0.7891511159897547,0.7904131014812771
chicago,8,0.7869157141529597,0.7903159246182769,0.7903159246182769
chicago,9,0.7864444755636466,0.7915705985428387,0.7903159246182769
chicago,10,0.7866821885913854,0.7914827078734363,0.7903159246182769
austintexas,1,0.7046174452911471,0.7030447674839083,0.7030447674839083
