file,timeInSeconds,method
football.json_1,39,EM
football.json_1,53,CQM
football.json_1,57,TSM
football.json_1,49,VSM
football.json_2,41,EM
football.json_2,44,CQM
football.json_2,58,TSM
football.json_2,47,VSM
football.json_3,42,EM
football.json_3,48,CQM
football.json_3,59,TSM
football.json_3,56,VSM
football.json_4,44,EM
football.json_4,46,CQM
football.json_4,54,TSM
football.json_4,48,VSM
football.json_5,43,EM
football.json_5,44,CQM
football.json_5,53,TSM
football.json_5,49,VSM
football.json_6,44,EM
football.json_6,44,CQM
football.json_6,64,TSM
football.json_6,50,VSM
football.json_7,40,EM
football.json_7,50,CQM
football.json_7,64,TSM
football.json_7,49,VSM
football.json_8,46,EM
football.json_8,42,CQM
football.json_8,64,TSM
football.json_8,49,VSM
football.json_9,39,EM
football.json_9,51,CQM
football.json_9,56,TSM
football.json_9,49,VSM
football.json_10,41,EM
football.json_10,44,CQM
football.json_10,56,TSM
football.json_10,49,VSM
football.json_1,2580,CBRB
football.json_2,2546,CBRB
football.json_3,2541,CBRB
football.json_4,2495,CBRB
football.json_5,2554,CBRB
football.json_6,2511,CBRB
football.json_7,2510,CBRB
football.json_8,2620,CBRB
football.json_9,2591,CBRB
football.json_10,2612,CBRB
football.json_1,9634,RM
football.json_2,10468,RM
football.json_3,21288,RM
football.json_4,25992,RM
football.json_5,37856,RM
football.json_6,86400,RM
football.json_7,86400,RM
football.json_8,86400,RM
football.json_9,86400,RM
football.json_10,86400,RM
